"Path","Category","RuleName","Safety","Recommendation","SizeBytes","SizeText","FileCount","LastWriteTime","AgeDays","StaleAfterDays","Notes","CleanupAllowed","CleanupHint","Source"
"C:\Users\V_JINWKIM\AppData\Local\Channel","TopLevelDiscovery","(discovery)","Review","Watch","659846899","629.28 MB","171","2026-05-15 오전 10:41:37","11.3","30","Top-level directory discovery item. Verify app ownership before deletion.","False","Manual review only","Discovery"
"C:\Users\V_JINWKIM\AppData\Local\Temp\WacTemp","Temp","User Temp Items","SafeIfClosed","DeleteWhenAppClosed","615285590","586.78 MB","3","2026-03-09 오전 7:07:49","78.4","14","General user temp files. Delete only when related apps are closed.","False","","Rule"
"C:\Users\V_JINWKIM\AppData\Local\pip","TopLevelDiscovery","(discovery)","Review","Watch","583908499","556.86 MB","864","2026-05-20 오전 7:44:21","6.4","30","Top-level directory discovery item. Verify app ownership before deletion.","False","Manual review only","Discovery"
"C:\Users\V_JINWKIM\AppData\Local\Temp\dh\Report.3FDDB230-652C-4B3D-9B87-4F1CE1BB12DC","DiagnosticReport","DiagnosticsHub Reports","Safe","DeleteSafe","454915451","433.84 MB","3","2025-11-13 오후 12:04:29","194.2","7","Visual Studio Diagnostics Hub report folders. Old profiling sessions can be removed.","True","Delete after confirming no active Visual Studio profiling session.","Rule"
"C:\Users\V_JINWKIM\AppData\Local\Temp\IDE","Temp","User Temp Items","SafeIfClosed","DeleteWhenAppClosed","454027193","432.99 MB","6","2026-04-22 오전 6:44:50","34.5","14","General user temp files. Delete only when related apps are closed.","False","","Rule"
"C:\Users\V_JINWKIM\AppData\Local\Temp\MMC","Temp","User Temp Items","SafeIfClosed","DeleteWhenAppClosed","415083111","395.85 MB","510","2026-04-22 오전 6:47:49","34.5","14","General user temp files. Delete only when related apps are closed.","False","","Rule"
"C:\Users\V_JINWKIM\AppData\Local\canva-updater","TopLevelDiscovery","(discovery)","Review","Review","396846041","378.46 MB","3","2026-04-14 오전 7:50:46","42.4","30","Top-level directory discovery item. Verify app ownership before deletion.","False","Manual review only","Discovery"
"C:\Users\V_JINWKIM\AppData\Local\flutter_webview_windows","TopLevelDiscovery","(discovery)","Review","Watch","327528661","312.36 MB","7071","2026-05-06 오후 1:26:57","20.2","30","Top-level directory discovery item. Verify app ownership before deletion.","False","Manual review only","Discovery"
"C:\Users\V_JINWKIM\AppData\Local\obsidian-updater","TopLevelDiscovery","(discovery)","Review","Review","295530200","281.84 MB","1","2026-04-14 오전 10:22:07","42.3","30","Top-level directory discovery item. Verify app ownership before deletion.","False","Manual review only","Discovery"
"C:\Users\V_JINWKIM\AppData\Local\VmsPwDesktop","TopLevelDiscovery","(discovery)","Review","Watch","278995576","266.07 MB","15","2026-05-26 오후 5:17:41","0","30","Top-level directory discovery item. Verify app ownership before deletion.","False","Manual review only","Discovery"
